Log,Min SOC,Max SOC,SoH,shutdown min cell,shutdown max cell,boot min cell,boot max cell,min temp,max temp,Max Current,Cycle Number,logged wo sleep,cycle inc,shutdown min volt,shutdown max volt,boot min volt,boot max volt,shutdown capacity,accum charge,accum discharge,binary,,,,
99,85,100,0,11,10,8,11,22,25,0,4,0,0,4280,4320,4040,4060,10500,2194,0,63 55 64 00 46 49 76 00 00 04 00 B8 CA CB AB D6 D8 04 29 92 08 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
98,85,86,0,6,3,6,3,25,25,0,4,0,0,4100,4120,4100,4120,9023,8,16,62 55 56 00 49 49 50 00 00 04 00 36 CD CE 36 CD CE 3F 23 08 00 00 01 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
97,84,86,0,11,3,6,3,25,25,0,4,0,0,4100,4120,4080,4100,9047,190,0,61 54 56 00 49 49 4E 00 00 04 00 36 CC CD 3B CD CE 57 23 BE 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
96,84,86,0,6,5,6,3,25,25,22,4,0,0,4080,4080,4100,4120,8857,67,176,60 54 56 00 49 49 4D 16 00 04 00 36 CD CE 56 CC CC 99 22 43 00 00 0B 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
95,64,85,0,11,10,7,5,23,27,0,4,0,0,4100,4120,3880,3900,8981,2187,0,5F 40 55 00 47 4B 74 00 00 04 00 57 C2 C3 AB CD CE 15 23 8B 08 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
94,96,100,0,0,10,7,11,22,26,11,4,0,0,4340,4340,4280,4300,10500,2415,400,5E 60 64 00 46 4A 77 0B 00 04 00 B7 D6 D7 A0 D9 D9 04 29 6F 09 00 19 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
93,98,100,0,7,10,9,1,21,25,0,4,0,0,4320,4340,4160,4160,10500,1694,0,5D 62 64 00 45 49 75 00 00 04 00 19 D0 D0 A7 D8 D9 04 29 9E 06 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
92,98,98,0,11,0,11,10,22,29,0,4,0,0,4180,4200,4180,4340,10371,52,0,5C 62 62 00 46 4D 75 00 00 04 00 AB D1 D9 0B D1 D2 83 28 34 00 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
91,58,98,0,11,10,11,10,22,29,0,4,0,1,4180,4340,3820,3840,10319,4202,0,5B 3A 62 00 46 4D 75 00 00 04 80 AB BF C0 AB D1 D9 4F 28 6A 10 00 00 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
90,47,60,0,9,5,9,11,24,29,24,4,0,0,3800,3820,3840,3960,5049,63,1312,5A 2F 3C 00 48 4D 6D 18 00 04 00 B9 C0 C6 59 BE BF B9 13 3F 00 00 52 00 00 00 C0 28 AC 23 E2 09 0F A6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 18 53 42 00 00 00 00 00 00 00 00 00,,,,
