Log,Min SOC,Max SOC,SoH,shutdown min cell,shutdown max cell,boot min cell,boot max cell,min temp,max temp,Max Current,Cycle Number,logged wo sleep,cycle inc,shutdown min volt,shutdown max volt,boot min volt,boot max volt,shutdown capacity,accum charge,accum discharge,binary
57,75,76,0,6,10,7,8,23,27,0,4,0,0,4300,4320,4000,4500,8046,119,0,39 4B 4C 00 47 4B 7B 00 00 04 00 87 C8 E1 A6 D7 D8 6E 1F 77 00 00 00 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
56,58,100,0,11,6,11,10,23,27,7,4,0,1,4120,4700,3900,3940,10500,4780,208,38 3A 64 00 47 4B 7B 07 00 04 80 AB C3 C5 6B CE EB 04 29 AC 12 00 0D 00 00 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
55,60,61,0,11,10,11,10,24,24,4,4,0,0,3900,3940,3900,3940,6391,0,16,37 3C 3D 00 48 48 57 04 00 04 00 AB C3 C5 AB C3 C5 F7 18 00 00 00 01 00 01 00 00 80 1D F6 31 A1 09 12 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 26 37 B4 41 00 00 00 00 00 00 00 00 00
54,61,61,0,11,10,11,10,24,24,11,4,0,0,3900,3920,3900,3940,6414,0,48,36 3D 3D 00 48 48 56 0B 00 04 00 AB C3 C5 AB C3 C4 0E 19 00 00 00 03 00 01 00 00 80 06 94 23 A3 00 03 16 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D8 5F 3E 42 00 00 00 00 00 00 00 00 00
53,61,61,0,11,10,11,10,24,24,0,4,0,0,3900,3940,3900,3940,6462,0,16,35 3D 3D 00 48 48 55 00 00 04 00 AB C3 C5 AB C3 C5 3E 19 00 00 00 01 00 00 00 00 80 5E EA 04 A0 4F 94 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F5 D4 86 41 00 00 00 00 00 00 00 00 00
52,61,63,0,11,10,11,10,24,24,5,4,0,0,3900,3940,3920,3960,6479,0,128,34 3D 3F 00 48 48 57 05 00 04 00 AB C4 C6 AB C3 C5 4F 19 00 00 00 08 00 01 00 00 80 15 B4 21 A2 07 0E AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C3 6D 0E 43 00 00 00 00 00 00 00 00 00
51,63,63,0,11,10,11,10,24,24,5,4,0,0,3920,3960,3920,3960,6622,0,32,33 3F 3F 00 48 48 57 05 00 04 00 AB C4 C6 AB C4 C6 DE 19 00 00 00 02 00 01 00 00 80 50 E1 10 A2 07 0E AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DA 34 16 42 00 00 00 00 00 00 00 00 00
50,63,63,0,11,10,11,10,24,24,5,4,0,0,3920,3960,3920,3960,6660,0,32,32 3F 3F 00 48 48 55 05 00 04 00 AB C4 C6 AB C4 C6 04 1A 00 00 00 02 00 00 00 00 80 3C EE 03 A2 07 0F AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C6 11 39 42 00 00 00 00 00 00 00 00 00
49,63,64,0,11,10,11,10,24,24,1,4,0,0,3920,3960,3920,3960,6707,0,16,31 3F 40 00 48 48 56 01 00 04 00 AB C4 C6 AB C4 C6 33 1A 00 00 00 01 00 01 00 00 80 00 8F 10 A0 42 8D AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 36 5C E3 41 00 00 00 00 00 00 00 00 00
48,64,64,0,11,10,11,10,24,24,2,4,0,0,3920,3960,3920,3980,6736,0,32,30 40 40 00 48 48 65 02 00 04 00 AB C4 C7 AB C4 C6 50 1A 00 00 00 02 00 01 00 00 80 42 D3 10 A0 46 98 AB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 47 01 42 00 00 00 00 00 00 00 00 00
